Año,Municipio,Subregión,Sexo,Enfermedades Transmisibles,Neoplasias,Enfermedades Sistema Circulatorio,Causas Externas,Todas las demás enfermedades,"Signos, síntomas y afecciones mal definidas",Enfermedades originadas en el periodo perinatal
2018,Sitionuevo,Río,Mujer,28.46,20.61,85.67,0,51.45,0,0
2019,Sitionuevo,Río,Mujer,36.45,17.07,147.56,29.62,58.64,17.67,0
2020,Sitionuevo,Río,Mujer,41.68,41.85,158.87,21.09,45.36,32.3,0
2021,Sitionuevo,Río,Mujer,41.76,55.68,104.39,13.92,76.55,20.88,5.05
2018,Tenerife,Centro,Total,34.58,59.81,117.37,7.76,97.26,35.57,0
2019,Tenerife,Centro,Total,7.92,21.48,84.54,16.18,98.23,11.35,0
2020,Tenerife,Centro,Total,6.73,47.98,93.67,0,135.54,11.27,0
2021,Tenerife,Centro,Total,67.54,3.38,94.56,3.38,43.9,0,0
2018,Tenerife,Centro,Hombre,17.36,31.68,154.24,15.22,86.78,52.03,0
2019,Tenerife,Centro,Hombre,0,14.31,47.62,30.43,111.53,0,0
2020,Tenerife,Centro,Hombre,11.97,73.65,84.31,0,166.55,11.02,0
2021,Tenerife,Centro,Hombre,85.29,6.56,85.29,6.56,52.48,0,0
2018,Tenerife,Centro,Mujer,52.84,95.19,81.78,0,112.7,17.98,0
2019,Tenerife,Centro,Mujer,16.78,29.25,129.45,0,84.06,23.23,0
2020,Tenerife,Centro,Mujer,0,17.16,103.02,0,101.03,11.53,0
2021,Tenerife,Centro,Mujer,48.72,0,104.39,0,34.8,0,0
2018,Zapayán,Río,Total,0,36.86,106.65,12.04,64.89,0,0
2019,Zapayán,Río,Total,0,33.21,47.77,11.04,40.23,0,0
2020,Zapayán,Río,Total,20.52,50.54,126.66,20.78,58.63,0,0
2021,Zapayán,Río,Total,55.67,9.28,120.62,9.28,55.67,18.56,6.9
2018,Zapayán,Río,Hombre,0,25.38,145.05,23.45,111.52,0,0
2019,Zapayán,Río,Hombre,0,67.27,91.91,0,38.51,0,0
2020,Zapayán,Río,Hombre,39.13,97.44,172.26,40.34,20.57,0,0
2021,Zapayán,Río,Hombre,35.12,17.56,87.8,17.56,87.8,35.12,0
2018,Zapayán,Río,Mujer,0,47.46,68.49,0,17.98,0,0
2019,Zapayán,Río,Mujer,0,0,0,22.82,46.05,0,0
2020,Zapayán,Río,Mujer,0,0,81.58,0,98.94,0,0
2021,Zapayán,Río,Mujer,78.69,0,157.39,0,19.67,0,14.49
2018,Zona Bananera,Norte,Total,61.58,70.06,220.77,78.23,105.87,14.48,0
2019,Zona Bananera,Norte,Total,26.76,35.12,190.82,57.79,93.74,7.53,0
2020,Zona Bananera,Norte,Total,26.21,45.01,227.52,53.72,129.96,0,0
2021,Zona Bananera,Norte,Total,94.56,46.62,139.85,74.59,107.88,2.66,0
2018,Zona Bananera,Norte,Hombre,65.19,71.41,205.55,136.53,104.92,6.7,0
2019,Zona Bananera,Norte,Hombre,24.01,27.73,204.49,104.37,116.49,7.16,0
2020,Zona Bananera,Norte,Hombre,30.66,47.08,276.42,95.41,137.78,0,0
2021,Zona Bananera,Norte,Hombre,105.45,58,142.36,131.81,102.81,0,0
2018,Zona Bananera,Norte,Mujer,54.99,69.21,233.37,16.13,107.6,23.05,0
2019,Zona Bananera,Norte,Mujer,30.03,42.75,176.68,9.84,69.54,7.97,0
2020,Zona Bananera,Norte,Mujer,21.74,43.25,175.66,11.3,122.18,0,0
2021,Zona Bananera,Norte,Mujer,83.45,35,137.29,16.15,113.06,5.38,0
